,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,RGN21CD,RGN21NM
3804,12,data12,Economic and working conditions,E06000001,Hartlepool,107.16591278314968,105.94256726664267,104.72585636301942,102.61708371019634,107.69282155472315,,,,,,,,,,,E12000001,North East
3805,12,data12,Economic and working conditions,E06000002,Middlesbrough,110.5694923130502,106.90500880376831,103.0308459875221,102.85441855524326,105.45594658654413,,,,,,,,,,,E12000001,North East
3806,12,data12,Economic and working conditions,E06000003,Redcar and Cleveland,109.98127830906915,105.9976571689123,104.40403200268312,103.21536096295081,102.92968209817096,,,,,,,,,,,E12000001,North East
3807,12,data12,Economic and working conditions,E06000004,Stockton-on-Tees,103.81664769697935,102.19015461077383,99.0929642862979,100.2097370690781,102.51295337067234,,,,,,,,,,,E12000001,North East
3808,12,data12,Economic and working conditions,E06000005,Darlington,103.27371902243263,101.45637332154475,98.36899821025926,98.76410318447456,102.1129241892121,,,,,,,,,,,E12000001,North East
3809,12,data12,Economic and working conditions,E06000006,Halton,97.06004546853443,99.46472381631338,97.37795322481858,98.20851647126531,95.22654863880031,,,,,,,,,,,E12000002,North West
3810,12,data12,Economic and working conditions,E06000007,Warrington,95.50623264392073,95.19042535460993,96.36369384095048,96.40358138890879,93.74932309673206,,,,,,,,,,,E12000002,North West
3811,12,data12,Economic and working conditions,E06000008,Blackburn with Darwen,105.58758962671602,104.64291890050806,102.8188312415975,101.06919927637739,102.27647469321789,,,,,,,,,,,E12000002,North West
3812,12,data12,Economic and working conditions,E06000009,Blackpool,102.23217451079499,102.48701022398373,103.2511887121708,103.83974751595602,99.80887197453583,,,,,,,,,,,E12000002,North West
3813,12,data12,Economic and working conditions,E06000010,"Kingston upon Hull, City of",106.47680176265162,105.334210401164,106.57297843940208,102.72131249157698,104.33482558180954,,,,,,,,,,,E12000003,Yorkshire and The Humber
3814,12,data12,Economic and working conditions,E06000011,East Riding of Yorkshire,101.95418415381201,99.66440235552837,101.33201599221096,100.68172561853302,99.76561786987163,,,,,,,,,,,E12000003,Yorkshire and The Humber
3815,12,data12,Economic and working conditions,E06000012,North East Lincolnshire,106.3192756955006,102.8141466989626,100.71151657989614,101.63830627819655,101.8208489604748,,,,,,,,,,,E12000003,Yorkshire and The Humber
3816,12,data12,Economic and working conditions,E06000013,North Lincolnshire,101.20513790500375,103.29215027416691,100.97784144910032,104.35232371787643,98.77047094326419,,,,,,,,,,,E12000003,Yorkshire and The Humber
3817,12,data12,Economic and working conditions,E06000014,York,97.76782263920154,97.59259248055487,96.3982487565924,94.39831349819892,91.59231849403412,,,,,,,,,,,E12000003,Yorkshire and The Humber
3818,12,data12,Economic and working conditions,E06000015,Derby,101.79598464501234,100.39942460928853,100.95117273400992,99.69214096292895,101.99548725112031,,,,,,,,,,,E12000004,East Midlands
3819,12,data12,Economic and working conditions,E06000016,Leicester,107.67323004300957,103.20681483657904,101.72198396287925,97.47663251347124,99.62927696680637,,,,,,,,,,,E12000004,East Midlands
3820,12,data12,Economic and working conditions,E06000017,Rutland,94.0841391579428,96.85411977471578,95.53812056423905,96.96967221991144,93.96199937976272,,,,,,,,,,,E12000004,East Midlands
3821,12,data12,Economic and working conditions,E06000018,Nottingham,108.24114589727951,104.32348482073539,105.09470292189829,102.98804526825703,104.63489044656922,,,,,,,,,,,E12000004,East Midlands
3822,12,data12,Economic and working conditions,E06000019,"Herefordshire, County of",98.98064234826928,96.42437878964661,95.21977492121047,96.24560644514023,94.1807095091118,,,,,,,,,,,E12000005,West Midlands
3823,12,data12,Economic and working conditions,E06000020,Telford and Wrekin,101.31550982146898,99.59783798610843,99.10457161613661,100.40443189278956,99.24946573367195,,,,,,,,,,,E12000005,West Midlands
3824,12,data12,Economic and working conditions,E06000021,Stoke-on-Trent,102.47726271146819,103.80492292437559,101.7293822863939,100.71296876262772,99.93758658012567,,,,,,,,,,,E12000005,West Midlands
3825,12,data12,Economic and working conditions,E06000022,Bath and North East Somerset,98.7556041625891,97.07882075675717,96.52031803934241,97.61836483023417,97.08265479942952,,,,,,,,,,,E12000009,South West
3826,12,data12,Economic and working conditions,E06000023,"Bristol, City of",100.58371298744348,98.7959614096569,100.48301441830935,100.18104070716781,99.3218127019225,,,,,,,,,,,E12000009,South West
3827,12,data12,Economic and working conditions,E06000024,North Somerset,98.05755834994356,99.24344175725142,96.59859949375257,98.08053138092649,96.89065734881257,,,,,,,,,,,E12000009,South West
3828,12,data12,Economic and working conditions,E06000025,South Gloucestershire,101.00917785823393,98.90583312316991,98.69687799578624,100.44091071877247,100.43999387548703,,,,,,,,,,,E12000009,South West
3829,12,data12,Economic and working conditions,E06000026,Plymouth,105.57725827560978,103.5753516035036,101.0196742767508,99.56619088970561,97.26872003267493,,,,,,,,,,,E12000009,South West
3830,12,data12,Economic and working conditions,E06000027,Torbay,104.18980800542222,102.12185562133229,101.55554041073603,100.8266123566236,99.03524255671937,,,,,,,,,,,E12000009,South West
3831,12,data12,Economic and working conditions,E06000030,Swindon,98.47484598309147,97.8999134656467,94.93044497742616,93.9458882012712,93.05035865512755,,,,,,,,,,,E12000009,South West
3832,12,data12,Economic and working conditions,E06000031,Peterborough,101.92409638593296,100.53561948848684,101.85063493388785,102.31888795669775,104.21674585220512,,,,,,,,,,,E12000006,East of England
