,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,RGN21CD,RGN21NM
2219,7,data7,Children and young people,E06000001,Hartlepool,105.25509613723558,109.54918861091448,110.20831370598384,120.0653288297159,116.8195104470405,,,,,,,,,,,E12000001,North East
2220,7,data7,Children and young people,E06000002,Middlesbrough,110.417806362914,115.99047109863523,104.95893859056706,108.75928449949001,108.84102965854726,,,,,,,,,,,E12000001,North East
2221,7,data7,Children and young people,E06000003,Redcar and Cleveland,107.26768521612843,106.70441297455734,106.90438228592686,110.8639583153032,107.65261224423763,,,,,,,,,,,E12000001,North East
2222,7,data7,Children and young people,E06000004,Stockton-on-Tees,106.8750832099,106.0389157383633,111.18194262299863,110.97086326276585,104.45591809887672,,,,,,,,,,,E12000001,North East
2223,7,data7,Children and young people,E06000005,Darlington,107.35841757974836,112.66735357480881,105.86351828751046,106.35061874895476,106.444865764248,,,,,,,,,,,E12000001,North East
2224,7,data7,Children and young people,E06000006,Halton,104.88291615653857,108.32506752340889,108.09639375140256,111.04349972073521,111.25658811180216,,,,,,,,,,,E12000002,North West
2225,7,data7,Children and young people,E06000007,Warrington,99.03061501167413,101.85095871405298,96.15843462729097,100.4013365137831,100.75809006654357,,,,,,,,,,,E12000002,North West
2226,7,data7,Children and young people,E06000008,Blackburn with Darwen,102.54171532942604,107.61576504390972,109.34747459750717,105.58629850812498,110.21324242727086,,,,,,,,,,,E12000002,North West
2227,7,data7,Children and young people,E06000009,Blackpool,112.0792553635477,114.2655270196332,115.50560066863632,111.09313332807336,115.22919229217801,,,,,,,,,,,E12000002,North West
2228,7,data7,Children and young people,E06000010,"Kingston upon Hull, City of",104.19076288170265,104.29064933031245,105.54484545964692,110.52337916955891,107.0852162775522,,,,,,,,,,,E12000003,Yorkshire and The Humber
2229,7,data7,Children and young people,E06000011,East Riding of Yorkshire,102.89138497128833,104.19565618960053,100.85117930277337,92.45032800727128,98.76854925855805,,,,,,,,,,,E12000003,Yorkshire and The Humber
2230,7,data7,Children and young people,E06000012,North East Lincolnshire,101.42433438601826,105.31187042592822,103.69212807832938,103.53418293980403,102.16034002095893,,,,,,,,,,,E12000003,Yorkshire and The Humber
2231,7,data7,Children and young people,E06000013,North Lincolnshire,102.17570640140991,105.61957236018615,107.90762432103034,108.96359085790529,104.29488491281708,,,,,,,,,,,E12000003,Yorkshire and The Humber
2232,7,data7,Children and young people,E06000014,York,99.53485439404999,105.74543032513806,105.41794440460407,110.5864583513809,108.06263026168445,,,,,,,,,,,E12000003,Yorkshire and The Humber
2233,7,data7,Children and young people,E06000015,Derby,107.00845649501156,106.86477248875197,108.1125978609141,107.04061480516387,105.83541597537138,,,,,,,,,,,E12000004,East Midlands
2234,7,data7,Children and young people,E06000016,Leicester,105.1639736664615,106.96342436653373,103.94356784333945,102.17532967112092,105.12424857835484,,,,,,,,,,,E12000004,East Midlands
2235,7,data7,Children and young people,E06000017,Rutland,93.17980225873515,99.65323477247509,96.32708451143603,90.82047942471314,105.85177224149561,,,,,,,,,,,E12000004,East Midlands
2236,7,data7,Children and young people,E06000018,Nottingham,102.49539343616621,104.30031521361653,102.61166522954684,107.47442158198237,102.04701708909177,,,,,,,,,,,E12000004,East Midlands
2237,7,data7,Children and young people,E06000019,"Herefordshire, County of",100.52837976211191,97.24773969607216,97.98428343929987,100.23425163908762,99.57072265284623,,,,,,,,,,,E12000005,West Midlands
2238,7,data7,Children and young people,E06000020,Telford and Wrekin,104.56659381092564,108.96408366687564,109.6488106916416,106.89034137518652,111.69936782121344,,,,,,,,,,,E12000005,West Midlands
2239,7,data7,Children and young people,E06000021,Stoke-on-Trent,108.78546966022758,108.480759530184,107.79077168803565,108.14276510017628,110.3437059333323,,,,,,,,,,,E12000005,West Midlands
2240,7,data7,Children and young people,E06000022,Bath and North East Somerset,94.41480805174065,93.48834859511646,94.2340190676529,89.25780438199548,89.47767873367461,,,,,,,,,,,E12000009,South West
2241,7,data7,Children and young people,E06000023,"Bristol, City of",102.59190000976206,100.10386024128081,99.69147165505444,97.8875250519547,98.85838798848951,,,,,,,,,,,E12000009,South West
2242,7,data7,Children and young people,E06000024,North Somerset,104.88050395681869,101.65644827307032,100.16119638669136,101.93491684535783,99.84578395545395,,,,,,,,,,,E12000009,South West
2243,7,data7,Children and young people,E06000025,South Gloucestershire,99.1945378706431,97.80151077003988,97.75344263680269,98.02397001357744,96.1900376181661,,,,,,,,,,,E12000009,South West
2244,7,data7,Children and young people,E06000026,Plymouth,101.60426503665038,105.13361726299337,104.3408276301906,104.28065641659195,107.7266404373004,,,,,,,,,,,E12000009,South West
2245,7,data7,Children and young people,E06000027,Torbay,105.36261905831566,100.3766719805341,104.28434310233493,106.39448245949751,107.9736591580599,,,,,,,,,,,E12000009,South West
2246,7,data7,Children and young people,E06000030,Swindon,107.07865104064652,103.94127239219299,104.41526312242749,102.05465626910848,102.79519130937257,,,,,,,,,,,E12000009,South West
2247,7,data7,Children and young people,E06000031,Peterborough,99.42519000820486,104.05862092662143,101.77917294059012,105.04915614974847,110.0643344002399,,,,,,,,,,,E12000006,East of England
2248,7,data7,Children and young people,E06000032,Luton,107.32104171405729,110.10465099539938,109.44738149695503,107.5018757318692,111.90846683897081,,,,,,,,,,,E12000006,East of England
