,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,RGN21CD,RGN21NM
727,8.0,data8,Protective measures,E06000056,Central Bedfordshire,107.9677,108.3448,110.3423,108.7133,107.8504,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
741,8.0,data8,Protective measures,E06000057,Northumberland,109.9004,108.7227,111.4844,109.6856,111.2946,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
755,8.0,data8,Protective measures,E06000058,"Bournemouth, Christchurch and Poole",100.4556,102.1273,100.9981,101.6157,101.9675,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
769,8.0,data8,Protective measures,E06000059,Dorset,105.1129,107.0716,105.3887,106.5967,107.646,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
783,8.0,data8,Protective measures,E06000060,Buckinghamshire,105.1945,104.8554,104.5239,103.8913,104.1281,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
797,8.0,data8,Protective measures,E06000061,North Northamptonshire,103.7748,103.6783,103.6902,102.6228,103.5285,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
811,8.0,data8,Protective measures,E06000062,West Northamptonshire,101.6213,103.8366,102.8426,101.4797,101.8965,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
825,8.0,data8,Protective measures,E07000008,Cambridge,89.58251,90.08432,89.43248,88.08312,87.97047,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
839,8.0,data8,Protective measures,E07000009,East Cambridgeshire,114.9143,113.872,113.6443,112.6981,112.0686,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
853,8.0,data8,Protective measures,E07000010,Fenland,101.1097,103.2476,103.61,101.8667,103.4432,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
